,ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
170829,T20180013746,C,2006.0,8.0,S,1.0,Paved,V,DC UTE,NISSAN,NAVARA,,4,Utility,2905.0,R,D,4.0,4.0,5.0,1770.0,0.0,1135.0,3000.0,S,11.0,11.0,H,SIL,ZZ,2.0,8,2.0,3,1.0,0.0,No control
171057,T20180014002,A,1998.0,1.0,NE,1.0,Paved,V,SEDAN,FORD,FORTE,,1,Car,,R,P,4.0,6.0,5.0,1500.0,1.0,,,NE,10.0,1.0,H,RED,ZZ,2.0,1,2.0,5,1.0,0.0,No control
171058,T20180014002,B,0.0,2.0,SW,1.0,Paved,N,P MVR,WESTER,4900 F,,61,Prime Mover - Single Trailer,,,Z,,6.0,2.0,8920.0,1.0,,,N,1.0,1.0,J,WHI,RED,2.0,1,2.0,4,1.0,0.0,No control
171130,T20180014082,A,2002.0,1.0,N,1.0,Paved,V,SEDAN,NISSAN,PULSAR,,1,Car,,R,P,4.0,4.0,5.0,1000.0,1.0,,,N,8.0,6.0,H,FWN,ZZ,2.0,1,0.0,2,2.0,9.0,Roundabout
171131,T20180014082,B,2017.0,2.0,N,1.0,Paved,V,WAGON,JEEP,GRAND,,2,Station Wagon,2949.0,R,D,4.0,6.0,5.0,2267.0,1.0,682.0,,N,99.0,1.0,H,WHI,ZZ,2.0,5,2.0,1,2.0,9.0,Roundabout
171189,T20180014151,A,1996.0,1.0,W,1.0,Paved,V,SEDAN,HONDA,CIVIC,,1,Car,,R,P,4.0,4.0,5.0,1050.0,1.0,,,W,5.0,5.0,H,WHI,ZZ,2.0,F,2.0,4,1.0,1.0,Stop-go lights
171190,T20180014151,B,1998.0,2.0,E,1.0,Paved,V,S WAG,HOLDEN,COMMOD,,2,Station Wagon,,R,M,4.0,6.0,5.0,1500.0,1.0,,,NK,1.0,1.0,H,BLU,ZZ,2.0,1,2.0,2,2.0,1.0,Stop-go lights
171274,T20180014259,A,2013.0,2.0,SE,1.0,Paved,V,SEDAN,HOLDEN,CRUZE,,1,Car,,R,P,4.0,4.0,5.0,1394.0,2.0,,,SE,1.0,1.0,H,BLK,ZZ,2.0,6,1.0,5,2.0,1.0,Stop-go lights
171275,T20180014259,B,1999.0,1.0,SW,1.0,Paved,V,P MVR,KENWTH,T604,,61,Prime Mover - Single Trailer,,R,D,6.0,6.0,2.0,9840.0,4.0,,,SW,1.0,1.0,J,WHI,RED,2.0,F,1.0,3,9.0,1.0,Stop-go lights
171321,T20180014310,A,2004.0,1.0,SE,1.0,Paved,V,WAGON,FORD,TERRIT,,2,Station Wagon,,R,P,4.0,6.0,7.0,2200.0,0.0,,,SE,11.0,18.0,H,GRY,ZZ,2.0,F,2.0,6,2.0,0.0,No control
171322,T20180014310,B,2007.0,8.0,NK,1.0,Paved,V,SEDAN,FORD,FOCUS,,1,Car,,R,P,4.0,4.0,5.0,1268.0,0.0,,,NK,11.0,11.0,H,WHI,ZZ,2.0,R,2.0,1,2.0,0.0,No control
171371,T20180014357,A,2015.0,1.0,NW,1.0,Paved,V,UTIL,MITSUB,TRITON,,4,Utility,,R,D,4.0,4.0,5.0,1760.0,1.0,,,NW,1.0,18.0,H,WHI,ZZ,2.0,5,1.0,4,1.0,0.0,No control
171519,T20180014506,A,2016.0,1.0,NE,1.0,Paved,V,SEDAN,MITSUB,MIRAGE,,1,Car,,R,P,4.0,4.0,5.0,895.0,1.0,,,NE,1.0,1.0,H,RED,ZZ,2.0,F,2.0,3,1.0,0.0,No control
171708,T20180014722,A,2008.0,1.0,S,1.0,Paved,V,SOLO,HYOSUN,GT650R,,10,Motor Cycle,,,P,2.0,2.0,,0.0,2.0,,649.0,S,1.0,1.0,H,SIL,BLK,2.0,F,9.0,5,1.0,0.0,No control
171709,T20180014722,B,2001.0,2.0,S,1.0,Paved,V,WAGON,MITSUB,PAJERO,,2,Station Wagon,,R,P,4.0,6.0,7.0,2350.0,1.0,,,N,2.0,2.0,H,RED,SIL,2.0,4,2.0,1,1.0,0.0,No control
171717,T20180014728,A,2014.0,1.0,E,1.0,Paved,V,SOLO,H DAV,FLSTF,,10,Motor Cycle,,,P,2.0,2.0,,0.0,1.0,,1690.0,E,1.0,18.0,H,SIL,ZZ,2.0,5,1.0,4,1.0,0.0,No control
171766,T20180014791,A,2005.0,2.0,NW,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1500.0,2.0,,3600.0,NW,1.0,1.0,H,SIL,ZZ,2.0,6,1.0,4,1.0,1.0,Stop-go lights
171767,T20180014791,B,2004.0,1.0,NE,1.0,Paved,V,SEDAN,NISSAN,PULSAR,,1,Car,,R,P,4.0,4.0,5.0,1200.0,2.0,,,NE,3.0,3.0,H,WHI,ZZ,2.0,F,1.0,5,1.0,1.0,Stop-go lights
171788,T20180014816,A,2008.0,1.0,N,1.0,Paved,V,SOLO,YAMAHA,XV950,,10,Motor Cycle,,,P,2.0,2.0,,0.0,1.0,,950.0,N,2.0,3.0,H,BLK,ZZ,2.0,5,1.0,1,2.0,0.0,No control
172087,T20180015144,A,2008.0,1.0,N,1.0,Paved,V,SOLO,H DAV,FXDB,,10,Motor Cycle,,,P,2.0,2.0,,0.0,1.0,,1584.0,N,1.0,1.0,H,BLK,ZZ,2.0,1,1.0,3,1.0,0.0,No control
172088,T20180015144,B,2015.0,2.0,S,1.0,Paved,V,WAGON,HOLDEN,CPTIVA,,2,Station Wagon,,R,D,4.0,4.0,7.0,1938.0,1.0,,,S,1.0,1.0,H,GRY,ZZ,2.0,2,0.0,1,2.0,0.0,No control
172105,T20180015165,A,2000.0,1.0,E,1.0,Paved,V,UTIL,MAZDA,B2500,,4,Utility,,R,D,4.0,4.0,3.0,1575.0,1.0,,,E,1.0,1.0,H,GRN,ZZ,2.0,F,2.0,4,1.0,0.0,No control
172113,T20180015174,A,1998.0,1.0,N,1.0,Paved,V,WAGON,HONDA,CRV,,2,Station Wagon,,R,P,4.0,4.0,5.0,1400.0,1.0,,,N,1.0,18.0,H,BLU,ZZ,2.0,5,1.0,5,1.0,0.0,No control
172114,T20180015174,B,2010.0,8.0,N,1.0,Paved,V,SEDAN,AUDI,A3,,1,Car,,R,P,4.0,4.0,5.0,1535.0,0.0,,,N,11.0,11.0,H,GRY,ZZ,2.0,4,2.0,3,1.0,0.0,No control
172307,T20180015384,A,1996.0,2.0,SE,1.0,Paved,V,SEDAN,UNKN,EXCEL,,1,Car,,R,P,4.0,4.0,5.0,950.0,1.0,,,S,1.0,1.0,H,WHI,ZZ,2.0,5,9.0,5,1.0,15.0,Other
172308,T20180015384,B,2017.0,1.0,SE,1.0,Paved,V,TRAY,TOYOTA,HILUX,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,2810.0,R,D,4.0,4.0,2.0,1570.0,1.0,1240.0,,W,5.0,5.0,H,WHI,ZZ,2.0,1,0.0,5,1.0,15.0,Other
172324,T20180015402,A,0.0,2.0,SE,1.0,Paved,Z,,UNKN,,,99,Not Known,,,Z,,,,0.0,1.0,,,SE,99.0,99.0,H,ZZ,ZZ,9.0,R,9.0,9,9.0,11.0,Giveway sign
172325,T20180015402,B,0.0,1.0,SE,1.0,Paved,,,,,,13,Bicycle,,,,,,,0.0,1.0,,,SE,3.0,1.0,H,ZZ,ZZ,0.0,F,2.0,9,2.0,11.0,Giveway sign
172389,T20180015491,A,2017.0,1.0,N,1.0,Paved,V,TRAY,MAZDA,BT50,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,,R,D,4.0,5.0,3.0,2239.0,1.0,,,NW,2.0,2.0,H,WHI,ZZ,2.0,2,2.0,6,2.0,0.0,No control
172390,T20180015491,B,2013.0,2.0,SW,1.0,Paved,V,SOLO,PIAGGI,FLY150,,10,Motor Cycle,,,P,2.0,1.0,,0.0,1.0,,150.0,SE,2.0,17.0,H,RED,ZZ,2.0,1,1.0,2,2.0,11.0,Giveway sign
172445,T20180015545,A,2004.0,1.0,SW,1.0,Paved,V,WAGON,HONDA,CRVV,,2,Station Wagon,,R,P,4.0,4.0,5.0,1507.0,1.0,,,SW,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,3,1.0,11.0,Giveway sign
172446,T20180015545,B,2005.0,2.0,SW,1.0,Paved,V,WAGON,FORD,TERRIT,,2,Station Wagon,,R,P,4.0,6.0,7.0,2015.0,1.0,,,SW,1.0,1.0,B,BLU,ZZ,2.0,R,2.0,2,1.0,11.0,Giveway sign
172640,T20180015755,A,2003.0,1.0,NW,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1469.0,2.0,,3800.0,NW,1.0,18.0,H,RED,ZZ,2.0,7,2.0,5,1.0,0.0,No control
172719,T20180015834,A,0.0,1.0,S,3.0,Gravel,,,,,,13,Bicycle,,,,,,,0.0,1.0,,,W,1.0,1.0,H,ZZ,ZZ,0.0,F,2.0,3,1.0,9.0,Roundabout
172720,T20180015834,B,2005.0,2.0,N,3.0,Gravel,V,WAGON,MITSUB,OUTLAN,,2,Station Wagon,,R,P,4.0,4.0,5.0,1545.0,1.0,,,N,1.0,1.0,H,BLK,ZZ,2.0,F,2.0,6,2.0,9.0,Roundabout
172879,T20180015992,A,2007.0,1.0,SW,1.0,Paved,V,SEDAN,HOLDEN,HOLDEN,,1,Car,1890.0,R,P,4.0,6.0,5.0,1685.0,2.0,205.0,,NE,1.0,1.0,H,GLD,ZZ,2.0,5,2.0,5,1.0,0.0,No control
172998,T20180016103,A,2010.0,1.0,SE,1.0,Paved,V,SEDAN,MAZDA,3 NEO,,1,Car,,R,P,4.0,4.0,5.0,1266.0,1.0,,,NE,3.0,3.0,H,SIL,ZZ,2.0,F,2.0,6,2.0,14.0,Police
173488,T20180016600,A,2003.0,1.0,E,3.0,Gravel,V,S WAG,NISSAN,XTRAIL,,2,Station Wagon,,R,P,4.0,4.0,5.0,1400.0,1.0,,,E,1.0,3.0,H,BRN,ZZ,2.0,2,2.0,9,2.0,99.0,Unknown
173489,T20180016600,B,2014.0,2.0,N,3.0,Gravel,V,SOLO,HYOSUN,GV650C,,10,Motor Cycle,,,P,2.0,2.0,,0.0,1.0,,650.0,N,1.0,1.0,H,RED,ZZ,2.0,F,2.0,9,9.0,99.0,Unknown
173512,T20180016620,A,1999.0,1.0,NW,1.0,Paved,V,UTIL,FORD,AU FAL,,4,Utility,,R,P,4.0,6.0,2.0,1600.0,1.0,,,SE,1.0,6.0,H,BLU,ZZ,2.0,F,2.0,5,1.0,0.0,No control
173540,T20180016663,A,2003.0,1.0,S,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1512.0,1.0,,,W,7.0,18.0,H,WHI,ZZ,2.0,3,2.0,3,1.0,0.0,No control
173543,T20180016668,A,2013.0,2.0,W,1.0,Paved,V,UTIL,ISUZU,DMAX,,4,Utility,2950.0,R,D,4.0,4.0,5.0,1915.0,1.0,1035.0,,W,1.0,1.0,H,SIL,ZZ,2.0,1,2.0,3,1.0,0.0,No control
173544,T20180016668,B,1999.0,1.0,E,1.0,Paved,V,SED,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1050.0,1.0,,,S,1.0,18.0,H,WHI,ZZ,2.0,7,2.0,5,1.0,0.0,No control
173545,T20180016669,A,2000.0,2.0,N,1.0,Paved,V,SEDAN,HOLDEN,ASTRA,,1,Car,,R,P,4.0,4.0,5.0,1155.0,2.0,,,NW,3.0,3.0,H,RED,ZZ,2.0,R,2.0,1,2.0,1.0,Stop-go lights
173546,T20180016669,B,2011.0,1.0,N,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,3300.0,R,P,4.0,4.0,5.0,1460.0,1.0,1840.0,,NW,3.0,3.0,H,BLK,ZZ,2.0,F,2.0,1,2.0,1.0,Stop-go lights
173643,T20180016768,A,2017.0,1.0,E,1.0,Paved,V,WAGON,MAZDA,CX5,,2,Station Wagon,,R,P,4.0,4.0,5.0,1633.0,1.0,,,E,1.0,1.0,H,GRY,ZZ,2.0,1,2.0,4,1.0,0.0,No control
173644,T20180016768,B,1993.0,2.0,E,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4.0,4.0,5.0,1300.0,1.0,,,S,2.0,2.0,H,MRN,ZZ,2.0,R,2.0,4,1.0,0.0,No control
173746,T20180016883,A,2014.0,1.0,W,1.0,Paved,V,SEDAN,KIA,RIO,,1,Car,,R,P,4.0,4.0,5.0,1300.0,1.0,,,W,1.0,1.0,H,WHI,ZZ,2.0,1,2.0,1,2.0,9.0,Roundabout
173775,T20180016911,A,0.0,1.0,SE,1.0,Paved,,,,,,13,Bicycle,,,,,,,0.0,1.0,,,SE,1.0,1.0,H,ZZ,ZZ,0.0,N,2.0,9,2.0,5.0,Ped. crossing
173801,T20180016948,A,2002.0,1.0,S,1.0,Paved,V,UTIL,HOLDEN,COMMOD,,4,Utility,2273.0,R,P,4.0,8.0,2.0,1576.0,1.0,697.0,,S,1.0,1.0,H,BLK,ZZ,2.0,5,2.0,1,2.0,0.0,No control
173872,T20180017031,A,2008.0,1.0,SE,1.0,Paved,V,SEDAN,TOYOTA,COROLL,,1,Car,,R,P,4.0,4.0,5.0,1235.0,1.0,,,N,1.0,8.0,H,SIL,ZZ,2.0,1,2.0,4,1.0,0.0,No control
173873,T20180017031,B,2013.0,2.0,NW,1.0,Paved,V,WAGON,NISSAN,PATHFI,,2,Station Wagon,,R,P,4.0,4.0,7.0,1920.0,1.0,,,SE,1.0,1.0,H,GRY,ZZ,2.0,1,2.0,3,1.0,0.0,No control
173918,T20180017080,A,1998.0,1.0,SE,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1550.0,1.0,,,SE,1.0,18.0,H,SIL,ZZ,2.0,F,2.0,4,1.0,0.0,No control
173940,T20180017107,A,0.0,2.0,E,1.0,Paved,,,,,,13,Bicycle,,,,,,,0.0,1.0,,,W,1.0,1.0,H,ZZ,ZZ,0.0,F,2.0,1,2.0,99.0,Unknown
173941,T20180017107,B,0.0,1.0,E,1.0,Paved,Z,SEDAN,MITSUB,MAGNA,,1,Car,,,Z,,,,0.0,1.0,,,W,1.0,1.0,H,ZZ,ZZ,9.0,F,9.0,2,9.0,99.0,Unknown
174114,T20180017274,A,2004.0,1.0,NE,1.0,Paved,V,UTIL,HOLDEN,COMMOD,,4,Utility,2273.0,R,P,4.0,8.0,2.0,1550.0,1.0,723.0,,E,1.0,1.0,H,BLK,ZZ,2.0,F,2.0,4,1.0,0.0,No control
174115,T20180017274,B,2009.0,2.0,NE,1.0,Paved,V,VAN,HOLDEN,COMBO,,5,Panel Van,,R,P,4.0,4.0,2.0,1179.0,1.0,,,E,1.0,1.0,H,WHI,ZZ,2.0,8,0.0,3,1.0,0.0,No control
174116,T20180017274,C,2002.0,8.0,E,1.0,Paved,V,SEDAN,TOYOTA,SPORTI,,1,Car,,R,P,4.0,6.0,5.0,1530.0,1.0,,,W,1.0,1.0,H,SIL,ZZ,2.0,R,2.0,3,1.0,0.0,No control
174271,T20180017426,A,1989.0,1.0,NW,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,1,Car,,R,P,4.0,4.0,5.0,1200.0,4.0,,,NE,2.0,18.0,H,WHI,ZZ,2.0,5,2.0,1,2.0,1.0,Stop-go lights
174272,T20180017426,B,1999.0,2.0,NE,1.0,Paved,V,SEDAN,MITSUB,MAGNA,,1,Car,,R,P,4.0,6.0,5.0,1500.0,1.0,,,NE,11.0,11.0,H,WHI,ZZ,2.0,3,2.0,1,2.0,1.0,Stop-go lights
174312,T20180017480,A,2016.0,1.0,SW,1.0,Paved,V,TRAY,MAZDA,BT50,,71,Light Commercial Vehicle (Rigid) <= 4.5 Tonnes GVM,,R,D,4.0,5.0,2.0,1800.0,1.0,,,SW,1.0,18.0,H,WHI,ZZ,2.0,F,2.0,5,1.0,0.0,No control
174331,T20180017497,A,2017.0,1.0,S,1.0,Paved,V,SOLO,H DAV,FLTRXS,,10,Motor Cycle,,,P,2.0,2.0,,0.0,2.0,,1690.0,S,10.0,11.0,H,BLK,ZZ,2.0,8,2.0,1,2.0,0.0,No control
174402,T20180017556,A,2009.0,1.0,S,1.0,Paved,V,SOLO,H DAV,FXDF,,10,Motor Cycle,,,P,2.0,2.0,,0.0,1.0,,1584.0,NK,1.0,1.0,H,GRY,ZZ,2.0,1,2.0,1,2.0,9.0,Roundabout
174671,T20180017846,A,2001.0,1.0,S,1.0,Paved,V,SEDAN,HOLDEN,ASTRA,,1,Car,,R,P,4.0,4.0,5.0,1329.0,1.0,,,N,1.0,18.0,H,SIL,ZZ,2.0,4,2.0,3,1.0,0.0,No control
174723,T20180017902,A,2015.0,1.0,NW,1.0,Paved,V,SOLO,HSQVRN,FE350,,10,Motor Cycle,,,P,2.0,1.0,,0.0,1.0,,350.0,NW,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,6,1.0,0.0,No control
174784,T20180017996,A,2007.0,2.0,E,1.0,Paved,V,SEDAN,MAZDA,3,,1,Car,,R,P,4.0,4.0,5.0,1150.0,1.0,,,E,2.0,1.0,H,BLU,ZZ,2.0,R,2.0,5,1.0,1.0,Stop-go lights
174785,T20180017996,B,2018.0,1.0,E,1.0,Paved,V,UTIL,FORD,RANGER,,4,Utility,,R,D,4.0,5.0,5.0,2229.0,1.0,,,E,1.0,1.0,H,SIL,ZZ,2.0,F,2.0,1,2.0,1.0,Stop-go lights
174929,T20180018156,A,2010.0,2.0,SW,1.0,Paved,V,SEDAN,VOLKS,MULTVN,,1,Car,,R,D,4.0,4.0,7.0,2300.0,1.0,,,SW,1.0,15.0,H,RED,ZZ,2.0,R,2.0,1,2.0,1.0,Stop-go lights
174930,T20180018156,B,2005.0,1.0,SW,1.0,Paved,V,UTIL,FORD,FALCON,,4,Utility,2505.0,R,P,4.0,6.0,3.0,1450.0,1.0,1055.0,,SW,15.0,1.0,H,WHI,ZZ,2.0,F,2.0,6,2.0,1.0,Stop-go lights
174946,T20180018173,A,1999.0,1.0,N,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1550.0,1.0,,,N,1.0,1.0,H,BLU,ZZ,2.0,F,2.0,6,2.0,0.0,No control
174995,T20180018223,A,2015.0,1.0,N,1.0,Paved,V,SEDAN,UNKN,B200,,1,Car,,R,P,4.0,4.0,5.0,1425.0,1.0,,,N,3.0,3.0,H,BLK,ZZ,2.0,2,2.0,4,1.0,11.0,Giveway sign
174996,T20180018223,B,2016.0,2.0,W,1.0,Paved,V,UTIL,FORD,RANGER,,4,Utility,,R,D,4.0,5.0,5.0,2130.0,1.0,,,W,1.0,1.0,H,BLU,ZZ,2.0,5,2.0,1,2.0,11.0,Giveway sign
175082,T20180018321,A,2005.0,1.0,SE,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1558.0,2.0,,3600.0,E,3.0,3.0,H,RED,ZZ,2.0,6,2.0,2,9.0,1.0,Stop-go lights
175083,T20180018321,B,2010.0,2.0,SE,1.0,Paved,V,SEDAN,TOYOTA,CAMRY,,3,Taxi,,R,E,4.0,4.0,5.0,1605.0,2.0,,,SE,3.0,1.0,H,SIL,ZZ,2.0,F,1.0,2,2.0,1.0,Stop-go lights
175182,T20180018428,A,2004.0,1.0,NW,1.0,Paved,V,UTIL,FORD,FALCON,,4,Utility,2805.0,R,M,4.0,6.0,3.0,1700.0,1.0,1105.0,,NW,1.0,18.0,H,RED,ZZ,2.0,8,1.0,3,1.0,99.0,Unknown
175241,T20180018497,A,1999.0,1.0,NW,1.0,Paved,V,SEDAN,HOLDEN,BERLIN,,1,Car,,R,P,4.0,6.0,5.0,1500.0,1.0,,,NW,99.0,1.0,H,SIL,ZZ,2.0,F,2.0,5,2.0,0.0,No control
175283,T20180018539,A,0.0,1.0,NE,1.0,Paved,,,,,,13,Bicycle,,,,,,,0.0,1.0,,,NE,6.0,6.0,H,ZZ,ZZ,0.0,1,1.0,1,2.0,0.0,No control
175284,T20180018539,B,2003.0,2.0,NE,1.0,Paved,V,S WAG,FORD,FALCON,,2,Station Wagon,,R,P,4.0,6.0,5.0,1600.0,1.0,,,NE,1.0,1.0,H,SIL,ZZ,2.0,5,0.0,1,2.0,0.0,No control
175517,T20180018777,A,2001.0,1.0,N,1.0,Paved,V,VAN,TOYOTA,HIACE,,5,Panel Van,2800.0,R,P,4.0,4.0,3.0,1450.0,1.0,1350.0,,N,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,1,1.0,0.0,No control
175518,T20180018777,B,2003.0,2.0,N,1.0,Paved,V,DC UTE,HOLDEN,RODEO,,4,Utility,,R,P,4.0,6.0,5.0,1659.0,1.0,,,N,17.0,1.0,H,GRN,ZZ,2.0,R,2.0,1,2.0,0.0,No control
175592,T20180018851,A,2012.0,1.0,W,1.0,Paved,V,SEDAN,HYNDAI,ACCENT,,1,Car,,R,P,4.0,4.0,5.0,1140.0,1.0,,,W,1.0,18.0,H,WHI,ZZ,1.0,5,2.0,5,1.0,0.0,No control
175694,T20180018953,A,2004.0,1.0,N,3.0,Gravel,V,SEDAN,FORD,FALCON,,1,Car,,R,P,4.0,6.0,5.0,1694.0,2.0,,,NW,1.0,18.0,H,PUR,ZZ,2.0,1,2.0,4,1.0,0.0,No control
175702,T20180018963,A,2016.0,1.0,NE,1.0,Paved,V,SEDAN,VOLKS,GOLF,,1,Car,,R,P,4.0,4.0,5.0,1233.0,1.0,,,NE,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,3,1.0,0.0,No control
175703,T20180018963,B,2018.0,2.0,SW,1.0,Paved,V,WAGON,MAZDA,CX5,,2,Station Wagon,,R,P,4.0,4.0,5.0,1670.0,2.0,,,SW,1.0,1.0,H,BLU,ZZ,2.0,F,2.0,3,1.0,0.0,No control
175865,T20180019107,A,2007.0,1.0,N,1.0,Paved,V,P MVR,KENWTH,K104B,,61,Prime Mover - Single Trailer,,R,D,6.0,6.0,2.0,9280.0,1.0,,,NW,1.0,18.0,J,WHI,ZZ,2.0,2,2.0,3,1.0,0.0,No control
175971,T20180019220,A,1958.0,1.0,W,1.0,Paved,V,SOLO,HARLEY,,,10,Motor Cycle,,,Z,,,1.0,0.0,1.0,,,W,1.0,1.0,H,BLK,ZZ,2.0,F,2.0,1,2.0,1.0,Stop-go lights
175972,T20180019220,B,1980.0,2.0,W,1.0,Paved,V,SOLO,H DAV,,,10,Motor Cycle,,,Z,,,1.0,0.0,1.0,,,S,3.0,3.0,H,BLK,ZZ,2.0,R,2.0,1,2.0,1.0,Stop-go lights
176032,T20180019291,A,1997.0,1.0,S,1.0,Paved,V,WAGON,L ROV,DISCOV,,2,Station Wagon,,R,M,4.0,8.0,5.0,1850.0,2.0,,,S,7.0,18.0,H,BLU,ZZ,2.0,F,2.0,5,1.0,0.0,No control
176115,T20180019391,A,2006.0,2.0,NE,1.0,Paved,V,WAGON,HONDA,CR-V,,2,Station Wagon,,R,P,4.0,4.0,5.0,1450.0,1.0,,,NE,1.0,1.0,H,GRY,ZZ,2.0,R,2.0,2,2.0,11.0,Giveway sign
176116,T20180019391,B,2001.0,1.0,NE,1.0,Paved,V,COUPE,HYNDAI,FX,,1,Car,,R,P,4.0,4.0,4.0,1150.0,3.0,,,NE,1.0,1.0,H,RED,ZZ,2.0,F,2.0,3,1.0,11.0,Giveway sign
176697,T20180020011,A,2012.0,2.0,SE,1.0,Paved,V,SEDAN,HOLDEN,BARINA,,1,Car,,R,P,4.0,4.0,5.0,1249.0,1.0,,,SE,1.0,1.0,H,BLU,ZZ,2.0,5,2.0,4,1.0,0.0,No control
176698,T20180020011,B,2007.0,1.0,NW,1.0,Paved,V,UTIL,FORD,FALCON,,4,Utility,2505.0,R,P,4.0,6.0,2.0,1700.0,1.0,805.0,,NW,2.0,2.0,H,GRY,ZZ,2.0,1,2.0,4,1.0,11.0,Giveway sign
177171,T20180020462,A,2005.0,2.0,S,1.0,Paved,V,S WAG,HOLDEN,COMMOD,,2,Station Wagon,,R,P,4.0,6.0,5.0,1500.0,4.0,,,E,1.0,1.0,H,WHI,ZZ,2.0,F,2.0,4,1.0,1.0,Stop-go lights
177172,T20180020462,B,2001.0,1.0,W,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,6.0,5.0,1400.0,2.0,,,SW,1.0,1.0,H,RED,ZZ,2.0,2,2.0,4,1.0,1.0,Stop-go lights
177244,T20180020552,A,2010.0,1.0,N,1.0,Paved,V,WAGON,NISSAN,XTRAIL,,2,Station Wagon,,R,P,4.0,4.0,5.0,1525.0,1.0,,,N,3.0,3.0,H,WHI,ZZ,2.0,F,2.0,4,1.0,0.0,No control
177250,T20180020556,A,2005.0,1.0,E,1.0,Paved,V,UTIL,HOLDEN,COMMOD,,4,Utility,2275.0,R,P,4.0,8.0,2.0,1619.0,1.0,656.0,,S,1.0,18.0,H,BLU,ZZ,2.0,5,2.0,4,1.0,0.0,No control
177251,T20180020556,B,2009.0,2.0,W,1.0,Paved,V,SEDAN,FORD,FALXR6,,1,Car,,R,P,4.0,6.0,5.0,1704.0,1.0,,,SW,1.0,1.0,H,PUR,ZZ,2.0,1,2.0,4,1.0,0.0,No control
177252,T20180020556,C,2013.0,8.0,W,1.0,Paved,V,SEDAN,MERC B,C250,,1,Car,,R,D,4.0,4.0,5.0,1587.0,1.0,,,W,1.0,1.0,H,GRY,ZZ,2.0,4,2.0,3,1.0,0.0,No control
177255,T20180020559,A,2011.0,1.0,S,1.0,Paved,V,P MVR,W STAR,4800FX,,61,Prime Mover - Single Trailer,,R,D,6.0,6.0,2.0,9400.0,1.0,,,S,1.0,18.0,J,WHI,ZZ,2.0,0,2.0,4,1.0,0.0,No control
177481,T20180020808,A,2004.0,1.0,E,1.0,Paved,V,SEDAN,MITSUB,VERADA,,1,Car,,R,P,4.0,6.0,5.0,1500.0,3.0,,,E,2.0,2.0,H,SIL,ZZ,2.0,6,0.0,4,1.0,1.0,Stop-go lights
177482,T20180020808,B,2014.0,2.0,W,1.0,Paved,V,WAGON,TOYOTA,PRADO,,2,Station Wagon,,R,D,4.0,4.0,7.0,2250.0,4.0,,,W,1.0,1.0,H,WHI,ZZ,2.0,F,0.0,2,1.0,1.0,Stop-go lights
177502,T20180020828,A,2004.0,1.0,W,3.0,Gravel,V,S WAG,HOLDEN,CRUZE,,2,Station Wagon,,R,P,4.0,4.0,5.0,985.0,1.0,,,W,1.0,18.0,H,BLK,ZZ,2.0,8,2.0,4,1.0,0.0,No control
